Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kaitangata,NZ,-46.2817,169.8464,42.48,58,37,12.91,scattered clouds
80,Telhara,IN,21.0269,76.8389,80.35,84,100,11.95,moderate rain
81,Labuhan,ID,-6.8844,112.2051,86.58,58,14,1.86,few clouds
82,Awjilah,LY,29.1081,21.2869,77.02,70,0,8.72,clear sky
83,Belaya Gora,RU,68.5333,146.4167,71.67,41,61,6.76,broken clouds
84,Cabo San Lucas,MX,22.8909,-109.9124,85.51,76,88,2.37,overcast clouds
85,Stulovo,RU,58.7225,50.1439,71.82,67,12,3.94,few clouds
86,Tulum,MX,20.2167,-87.4667,78.26,91,100,4.29,overcast clouds
87,Waingapu,ID,-9.6567,120.2641,84.63,61,11,11.65,few clouds
88,Najran,SA,17.4924,44.1277,83.05,51,46,4.85,scattered clouds
89,Asau,RO,46.4333,26.4,63.52,95,12,2.75,few clouds
90,Ballina,AU,-28.8667,153.5667,67.01,56,0,16.28,clear sky
91,Kamenka,RU,51.3223,42.7678,72.93,41,8,5.44,clear sky
92,Nador,MA,35.174,-2.9287,77.25,83,20,3.44,few clouds
93,Alofi,NU,-19.0595,-169.9187,78.69,78,75,10.36,broken clouds
94,College,US,64.8569,-147.8028,57.58,75,100,5.75,light rain
95,Korla,CN,41.7597,86.1469,93.7,19,1,6.15,clear sky
96,Ribeira Grande,PT,38.5167,-28.7,74.52,81,18,15.19,light rain
97,Grand Gaube,MU,-20.0064,57.6608,70.38,74,3,3.0,clear sky
98,Atuona,PF,-9.8,-139.0333,76.86,75,16,15.64,few clouds
99,Avarua,CK,-21.2078,-159.775,73.45,64,20,17.27,few clouds
100,Pacific Grove,US,36.6177,-121.9166,65.88,84,0,6.91,clear sky
101,Pangani,TZ,-5.4333,38.9667,68.59,87,99,7.81,light rain
102,Norman Wells,CA,65.282,-126.8329,57.24,82,75,13.8,broken clouds
103,Cidreira,BR,-30.1811,-50.2056,58.64,94,100,15.64,overcast clouds
104,Guerrero Negro,MX,27.9769,-114.0611,75.18,78,40,9.82,scattered clouds
105,Betare Oya,CM,5.6,14.0833,64.8,99,100,2.95,overcast clouds
106,Trelew,AR,-43.249,-65.3051,41.83,91,100,2.84,light rain
107,General Roca,AR,-39.0333,-67.5833,39.49,97,100,3.69,light rain
108,Banamba,ML,13.55,-7.45,69.1,89,33,20.96,moderate rain
109,Baruun-Urt,MN,46.6806,113.2792,72.43,29,2,11.95,clear sky
110,Hithadhoo,MV,-0.6,73.0833,81.3,70,100,1.74,overcast clouds
111,Sabha,LY,27.0377,14.4283,80.01,28,0,11.18,clear sky
112,Viransehir,TR,37.2353,39.7631,78.53,55,0,3.38,clear sky
113,Port Hardy,CA,50.6996,-127.4199,62.78,88,0,2.3,fog
114,Rocha,UY,-34.4833,-54.3333,42.64,92,49,3.11,scattered clouds
115,East London,ZA,-33.0153,27.9116,58.14,100,75,26.46,thunderstorm with light rain
116,Vao,NC,-22.6667,167.4833,72.36,81,4,17.74,clear sky
117,Thompson,CA,55.7435,-97.8558,62.76,88,75,0.0,broken clouds
118,Miyoshi,JP,35.0833,137.0667,92.95,54,81,8.23,broken clouds
119,Cassilandia,BR,-19.1133,-51.7342,74.5,38,89,3.53,overcast clouds
120,Scarborough,GB,54.2797,-0.4044,58.33,89,59,1.99,broken clouds
121,Keti Bandar,PK,24.1447,67.4497,84.06,83,79,10.96,very heavy rain
122,Paragominas,BR,-2.9667,-47.4833,70.41,94,0,3.76,clear sky
123,Yulara,AU,-25.2406,130.9889,70.86,20,5,15.64,clear sky
124,Hasaki,JP,35.7333,140.8333,95.29,77,52,22.75,broken clouds
125,Ilulissat,GL,69.2167,-51.1,42.82,93,100,0.0,overcast clouds
126,Qaanaaq,GL,77.484,-69.3632,36.97,54,7,7.58,clear sky
127,Nkowakowa,ZA,-23.8878,30.2871,61.38,50,8,1.72,clear sky
128,Beloha,MG,-25.1667,45.05,61.9,93,11,7.99,few clouds
129,Tocopilla,CL,-22.092,-70.1979,58.69,68,9,1.25,clear sky
130,Sept-Iles,CA,50.2001,-66.3821,60.8,61,40,8.05,scattered clouds
131,San Cristobal,VE,7.7669,-72.225,71.78,97,95,2.44,overcast clouds
132,Quatre Cocos,MU,-20.2078,57.7625,71.1,75,18,9.46,few clouds
133,Xiongzhou,CN,25.1167,114.3,94.93,51,8,2.24,clear sky
