City_ID,City,Country,Date,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
67,Broome,US,2022-08-06 04:34:21,72.19,42.2506,-75.833,95,0,0.0
68,Namatanai,PG,2022-08-06 04:34:21,84.81,-3.6667,152.4333,65,97,3.91
69,Tuktoyaktuk,CA,2022-08-06 04:34:22,69.8,69.4541,-133.0374,60,75,4.61
70,Palmer,US,2022-08-06 04:34:22,76.55,42.1584,-72.3287,79,0,4.61
71,Sioux Lookout,CA,2022-08-06 04:34:22,69.87,50.1001,-91.917,88,75,8.05
72,Bosaso,SO,2022-08-06 04:34:23,93.18,11.2842,49.1816,33,0,14.97
73,Port Elizabeth,ZA,2022-08-06 04:34:23,53.89,-33.918,25.5701,85,0,8.05
74,Saint-Augustin,CA,2022-08-06 04:34:23,58.24,51.226,-58.6502,53,22,9.98
75,Dunedin,NZ,2022-08-06 04:32:15,55.8,-45.8742,170.5036,70,100,1.41
76,Sierra Vista,US,2022-08-06 04:30:10,77.05,31.5545,-110.3037,64,40,6.91
77,Saskylakh,RU,2022-08-06 04:34:24,64.42,71.9167,114.0833,47,7,9.01
78,Puerto Penasco,MX,2022-08-06 04:34:24,88.92,31.3167,-113.5333,71,1,9.66
79,Husavik,IS,2022-08-06 04:34:24,50.13,66.0449,-17.3389,73,70,7.94
80,Kansanshi,ZM,2022-08-06 04:34:25,53.91,-12.0951,26.4273,63,6,4.79
81,Touros,BR,2022-08-06 04:34:25,71.13,-5.1989,-35.4608,91,8,10.16
82,Vega Baja,PR,2022-08-06 04:34:25,82.35,18.4444,-66.3877,93,74,1.01
83,Patulele,RO,2022-08-06 04:34:26,74.95,44.3453,22.7728,42,0,4.92
84,Aklavik,CA,2022-08-06 04:34:26,66.51,68.2191,-135.0107,56,96,13.24
85,Jamestown,US,2022-08-06 04:34:26,73.71,42.097,-79.2353,74,0,5.75
86,Lyaskelya,RU,2022-08-06 04:34:26,68.77,61.7667,31.0167,75,54,8.97
87,Tucumcari,US,2022-08-06 04:34:27,78.64,35.1717,-103.725,57,75,9.22
88,Belle Fourche,US,2022-08-06 04:35:27,75.31,44.6714,-103.8522,72,100,4.94
89,Pingzhuang,CN,2022-08-06 04:35:28,93.34,42.0372,119.2889,33,94,6.91
90,Daru,PG,2022-08-06 04:35:29,79.95,-9.0763,143.2092,87,100,14.94
91,Provideniya,RU,2022-08-06 04:35:29,49.91,64.3833,-173.3,65,55,12.01
92,Nome,US,2022-08-06 04:35:29,48.27,64.5011,-165.4064,76,100,14.97
93,Brownsville,US,2022-08-06 04:35:29,84.15,25.9018,-97.4975,81,0,6.91
94,Lebu,CL,2022-08-06 04:35:30,50.23,-37.6167,-73.65,91,100,2.21
95,Hilo,US,2022-08-06 04:35:30,80.28,19.7297,-155.09,88,100,5.75
96,Faya,SA,2022-08-06 04:35:30,64.51,18.3851,42.4509,64,92,1.28
97,Ucluelet,CA,2022-08-06 04:35:31,64.09,48.9329,-125.5528,79,2,7.18
98,Airai,TL,2022-08-06 04:35:31,75.69,-8.9266,125.4092,50,42,3.87
99,Port Hardy,CA,2022-08-06 04:35:31,60.98,50.6996,-127.4199,72,40,8.05
100,Novo Aripuana,BR,2022-08-06 04:35:32,74.55,-5.1206,-60.3797,69,18,2.84
101,Puerto Ayora,EC,2022-08-06 04:35:32,69.55,-0.7393,-90.3518,93,77,7.0
102,Avallon,FR,2022-08-06 04:35:32,53.71,47.4833,3.9,76,0,5.68
103,Dukat,RU,2022-08-06 04:35:33,69.53,62.55,155.55,50,99,17.25
104,Saint-Philippe,RE,2022-08-06 04:35:33,67.59,-21.3585,55.7679,64,7,9.69
105,Avarua,CK,2022-08-06 04:35:33,75.25,-21.2078,-159.775,69,100,9.22
106,Uspenka,UA,2022-08-06 04:35:33,76.24,48.3903,39.1619,55,72,5.59
107,Kavieng,PG,2022-08-06 04:35:34,83.66,-2.5744,150.7967,68,75,1.57
108,Faanui,PF,2022-08-06 04:35:34,77.14,-16.4833,-151.75,79,74,24.65
109,Los Llanos De Aridane,ES,2022-08-06 04:35:34,69.55,28.6585,-17.9182,78,100,13.8
110,Conceicao Da Barra,BR,2022-08-06 04:35:35,69.39,-18.5933,-39.7322,89,0,6.85
111,Mayumba,GA,2022-08-06 04:35:35,67.89,-3.432,10.6554,91,22,4.72
112,Cherskiy,RU,2022-08-06 04:35:35,57.07,68.75,161.3,45,100,6.04
113,Kristiansund,NO,2022-08-06 04:35:36,51.85,63.1115,7.732,93,75,16.11
114,Tashtyp,RU,2022-08-06 04:35:36,70.93,52.7939,89.8983,39,2,4.03
115,Cidreira,BR,2022-08-06 04:35:37,49.73,-30.1811,-50.2056,79,4,4.61
116,Kaitangata,NZ,2022-08-06 04:35:37,53.74,-46.2817,169.8464,76,91,5.99
117,Fortuna,US,2022-08-06 04:35:37,62.92,40.5982,-124.1573,87,100,6.91
118,Bambous Virieux,MU,2022-08-06 04:35:38,70.21,-20.3428,57.7575,88,20,8.05
119,Izberbash,RU,2022-08-06 04:33:11,69.85,42.5696,47.8645,80,97,16.42
120,Talnakh,RU,2022-08-06 04:35:38,60.21,69.4865,88.3972,60,62,8.93
121,Chumikan,RU,2022-08-06 04:35:39,53.35,54.7183,135.315,97,100,22.08
122,Sovetskiy,RU,2022-08-06 04:35:39,75.92,61.3614,63.5842,47,99,9.51
123,Bethel,US,2022-08-06 04:35:39,77.9,41.3712,-73.414,92,0,0.0
124,Thompson,CA,2022-08-06 04:35:40,46.56,55.7435,-97.8558,93,100,13.8
125,Tutoia,BR,2022-08-06 04:35:40,77.41,-2.7619,-42.2744,85,9,12.21
126,Nuevo Progreso,MX,2022-08-06 04:35:40,79.54,23.1667,-97.95,66,27,1.01
127,Petropavlovka,RU,2022-08-06 04:35:41,54.9,50.6114,105.3196,81,100,4.83
128,Chokurdakh,RU,2022-08-06 04:35:41,60.31,70.6333,147.9167,42,16,7.23
129,Pevek,RU,2022-08-06 04:35:41,36.05,69.7008,170.3133,98,100,6.62
130,Fare,PF,2022-08-06 04:35:41,76.91,-16.7,-151.0167,79,62,25.08
131,Chau Doc,VN,2022-08-06 04:35:42,81.32,10.7,105.1167,74,100,8.72
132,Khatanga,RU,2022-08-06 04:35:43,69.46,71.9667,102.5,55,33,8.7
133,Kayes,ML,2022-08-06 04:35:43,73.22,14.0,-11.0,95,51,3.58
134,Bismarck,US,2022-08-06 04:35:02,75.04,46.8083,-100.7837,48,0,8.05
135,Shepsi,RU,2022-08-06 04:32:44,75.34,44.0361,39.1489,77,0,5.03
136,Balykshi,KZ,2022-08-06 04:36:43,82.4,47.0667,51.8667,23,0,13.42
137,Oksfjord,NO,2022-08-06 04:36:44,53.78,70.2396,22.3479,65,20,7.07
138,Lupiro,TZ,2022-08-06 04:36:44,68.47,-8.3833,36.6667,72,85,3.15
139,Chuy,UY,2022-08-06 04:36:45,43.79,-33.6971,-53.4616,91,2,3.33
140,Lavrentiya,RU,2022-08-06 04:36:45,47.34,65.5833,-171.0,67,67,8.23
141,Georgetown,MY,2022-08-06 04:34:09,87.75,5.4112,100.3354,74,20,7.0
142,Ust-Karsk,RU,2022-08-06 04:36:45,74.46,52.7011,118.8077,48,58,7.81
143,Esperance,AU,2022-08-06 04:36:45,58.57,-33.8667,121.9,51,43,10.33
144,Kasongo-Lunda,CD,2022-08-06 04:36:46,65.59,-6.4667,16.8167,66,3,1.52
145,Chkalovsk,RU,2022-08-06 04:36:46,67.98,56.7647,43.2433,77,96,5.28
146,Urumqi,CN,2022-08-06 04:36:46,79.75,43.801,87.6005,39,0,2.24
147,San Luis,AR,2022-08-06 04:36:47,50.04,-33.295,-66.3356,42,39,6.73
148,Barra Patuca,HN,2022-08-06 04:36:47,76.59,15.8,-84.2833,89,100,3.4
149,Makurdi,NG,2022-08-06 04:36:47,72.55,7.7411,8.5121,93,100,3.83
150,Guerrero Negro,MX,2022-08-06 04:36:47,71.31,27.9769,-114.0611,87,16,12.73
151,Labuhan,ID,2022-08-06 04:36:48,87.73,-6.8844,112.2051,51,37,1.19
152,Weihai,CN,2022-08-06 04:36:48,86.4,37.5017,122.1136,73,42,4.83
153,Mbandaka,CD,2022-08-06 04:36:48,69.33,0.0487,18.2603,93,26,2.62
154,Coquimbo,CL,2022-08-06 04:33:07,51.53,-29.9533,-71.3436,87,0,5.75
155,Constitucion,CL,2022-08-06 04:36:49,52.5,-35.3333,-72.4167,94,100,0.96
156,Santa Maria,BR,2022-08-06 04:36:49,44.51,-29.6842,-53.8069,94,1,4.88
157,Dedovichi,RU,2022-08-06 04:36:49,70.72,57.5517,29.9502,79,15,8.77
158,Mocajuba,BR,2022-08-06 04:36:50,72.75,-2.5842,-49.5072,88,24,2.84
159,Asau,RO,2022-08-06 04:36:50,63.52,46.4333,26.4,70,2,2.86
160,Lasa,IT,2022-08-06 04:36:50,59.68,46.6166,10.7002,85,48,4.45
161,Santiago,CL,2022-08-06 04:35:02,50.85,-33.4569,-70.6483,69,75,3.44
162,Mackay,AU,2022-08-06 04:36:51,72.43,-21.15,149.2,84,11,8.86
163,Tiksi,RU,2022-08-06 04:36:51,41.4,71.6872,128.8694,81,100,13.2
164,Kodiak,US,2022-08-06 04:36:51,63.91,57.79,-152.4072,48,20,8.05
165,East London,ZA,2022-08-06 04:36:52,58.14,-33.0153,27.9116,82,20,8.05
166,Jalu,LY,2022-08-06 04:36:52,79.45,29.0331,21.5482,38,0,6.53
167,North Platte,US,2022-08-06 04:36:52,86.07,41.1239,-100.7654,65,0,11.99
168,Ankang,CN,2022-08-06 04:36:52,98.15,32.68,109.0172,46,14,1.9
169,Katsuura,JP,2022-08-06 04:36:53,77.67,35.1333,140.3,73,100,7.47
170,Lillooet,CA,2022-08-06 04:36:53,58.96,50.6856,-121.942,71,58,1.03
171,Ambilobe,MG,2022-08-06 04:36:53,71.94,-13.2,49.05,55,57,3.33
172,Thinadhoo,MV,2022-08-06 04:36:54,82.85,0.5333,72.9333,71,88,12.37
173,Lata,PT,2022-08-06 04:36:54,61.11,40.1629,-8.3327,94,4,2.28
174,Lorengau,PG,2022-08-06 04:36:54,84.4,-2.0226,147.2712,69,42,5.97
175,Jumla,NP,2022-08-06 04:36:55,72.19,29.2747,82.1838,73,100,4.41
176,Yellowknife,CA,2022-08-06 04:35:42,59.52,62.456,-114.3525,58,40,5.75
177,Korem,ET,2022-08-06 04:36:55,56.88,12.5058,39.5228,86,100,5.75
178,Sindhnur,IN,2022-08-06 04:36:56,77.29,15.7833,76.7667,81,100,15.01
179,Upernavik,GL,2022-08-06 04:36:56,37.54,72.7868,-56.1549,96,66,8.99
180,Vila Franca Do Campo,PT,2022-08-06 04:36:56,70.21,37.7167,-25.4333,91,100,7.36
181,Richards Bay,ZA,2022-08-06 04:36:56,62.04,-28.783,32.0377,90,0,5.32
182,Cayenne,GF,2022-08-06 04:36:57,82.09,4.9333,-52.3333,1,20,3.0
183,Mount Isa,AU,2022-08-06 04:36:57,78.57,-20.7333,139.5,27,40,12.66
184,Mapiri,BO,2022-08-06 04:36:57,66.65,-15.25,-68.1667,99,100,0.4
185,Quelimane,MZ,2022-08-06 04:37:58,58.95,-17.8786,36.8883,100,0,2.3
186,Amurzet,RU,2022-08-06 04:37:58,85.08,47.6967,131.0981,48,65,8.7
187,Coos Bay,US,2022-08-06 04:33:34,59.94,43.3665,-124.2179,100,100,16.11
188,Ketchikan,US,2022-08-06 04:37:59,62.58,55.3422,-131.6461,82,100,6.91
189,San Cristobal,VE,2022-08-06 04:37:59,68.18,7.7669,-72.225,98,97,1.39
190,Alta Floresta,BR,2022-08-06 04:37:59,71.24,-9.8756,-56.0861,49,12,3.22
191,Cabedelo,BR,2022-08-06 04:38:00,70.47,-6.9811,-34.8339,85,9,10.89
192,Nikolskoye,RU,2022-08-06 04:38:00,72.81,59.7035,30.7861,78,83,7.29
193,Predivinsk,RU,2022-08-06 04:38:01,61.86,57.0669,93.4378,49,68,6.96
194,Hasaki,JP,2022-08-06 04:38:01,81.28,35.7333,140.8333,70,100,7.23
195,Devils Lake,US,2022-08-06 04:38:02,68.95,48.1128,-98.8651,76,0,8.99
196,Barstow,US,2022-08-06 04:38:02,92.39,34.8986,-117.0228,33,3,9.84
197,Kamenka,RU,2022-08-06 04:38:02,75.79,51.3223,42.7678,42,3,12.03
198,Tatarsk,RU,2022-08-06 04:38:03,75.99,55.219,75.9828,45,93,8.43
199,Kirakira,SB,2022-08-06 04:38:03,84.25,-10.4544,161.9205,73,97,11.99
200,Tarakan,ID,2022-08-06 04:38:04,80.1,3.3,117.6333,83,20,5.75
201,Biloela,AU,2022-08-06 04:38:04,67.91,-24.4167,150.5,76,99,4.41
202,Gravdal,NO,2022-08-06 04:38:04,51.94,68.1214,13.5031,88,100,27.4
203,Yilan,TW,2022-08-06 04:33:39,101.01,24.757,121.753,57,10,8.68
